set;ANG1;ANG2;ANG3;ANG4;TSAI1;TSAI2;TSAI3;TSAI4;TSAI5;TSAI6;TSAI7;TSAI8;TSAI9;TSAI10;TSAI11;TSAI12;TK;MTSAI;TVOL
1;45;-45;60;90;1,28973;1,22887;1,25448;1,58371;0,982354;0,909509;0,840969;0,776535;1,12244;0,681496;0,6932;0,59862;20;1,58371;1,96E+07
2;152,519;82,3911;69,949;124,682;0,629675;0,936569;0,774815;0,67145;0,623777;0,766625;0,731765;0,555121;0,510133;0,541827;0,604413;0,404621;22,4273;0,936569;2,20E+07
3;139,009;99,9126;86,056;144,798;0,887757;1,09143;0,971585;0,571341;0,370579;0,813145;0,752591;0,321727;0,413611;0,566419;0,539917;0,447591;33,7848;1,09143;3,32E+07
4;66,3172;4,13181;81,6652;151,757;1,42928;1,34925;0,862211;1,18488;0,894742;1,16089;1,12396;0,889237;1,1267;0,694865;1,05344;0,859439;14,0868;1,42928;1,38E+07
5;110,618;139,573;127,387;17,5773;1,64388;0,980004;1,05082;0,881299;0,874807;0,862907;0,843055;0,631089;0,605772;0,887546;0,905003;0,933105;24,0149;1,64388;2,36E+07
6;69,1433;10,8975;4,22018;83,9035;1,46787;1,15241;0,911072;0,903745;0,546365;0,843222;0,8232;0,434266;0,653396;0,700899;0,757948;0,758722;22,8118;1,46787;2,24E+07
7;134,786;155,661;2,3377;112,604;1,66576;1,88101;1,75833;1,11607;0,959531;1,66497;1,61918;0,849128;1,04725;1,44558;1,51166;1,58969;21,0708;1,88101;2,07E+07
8;63,0363;40,3395;106,604;29,8019;1,14918;0,759741;0,80642;0,542399;0,517159;0,575129;0,536709;0,366479;0,382506;0,399738;0,407277;0,476187;39,2361;1,14918;3,86E+07
9;132,613;158,62;107,619;38,8523;0,562686;0,786493;0,396131;0,503829;0,400665;0,706208;0,689616;0,37402;0,448636;0,234981;0,636251;0,429532;28,3585;0,786493;2,79E+07
10;128,956;147,188;18,0171;113,982;1,11507;1,35568;1,12975;0,75939;0,541554;1,20049;1,16667;0,522255;0,784496;0,93781;1,05998;1,01785;22,8849;1,35568;2,25E+07
11;50,8285;83,64;53,3007;7,59173;0,8604;0,931868;0,736499;0,658675;0,378917;0,704343;0,654391;0,30592;0,501694;0,473015;0,477517;0,475586;32,4294;0,931868;3,19E+07
12;159,046;152,906;119,621;71,5724;0,665795;0,624855;0,38353;0,205297;0,480022;0,547563;0,53078;0,429519;0,129645;0,316002;0,471866;0,473384;36,6017;0,665795;3,60E+07
13;77,3838;125,484;176,506;19,3736;0,694731;0,599299;0,612944;0,451729;0,574381;0,505406;0,496976;0,465432;0,34757;0,469628;0,468565;0,306077;31,7972;0,694731;3,13E+07
14;126,344;177,358;165,415;109,117;1,27053;1,32024;1,32407;0,775665;0,505767;1,13803;1,10357;0,468205;0,696228;1,09315;1,01433;0,869947;21,3802;1,32407;2,10E+07
15;54,4872;163,595;168,681;26,7634;0,512549;0,850289;0,847705;0,752539;0,365387;0,726493;0,711151;0,333351;0,63417;0,696467;0,656528;0,318652;39,759;0,850289;3,91E+07
16;177,562;122,569;138,698;78,8292;0,954716;0,916277;0,95807;0,60305;0,687832;0,680483;0,649825;0,531129;0,532964;0,791259;0,823696;0,72478;35,7558;0,95807;3,51E+07
17;17,4458;76,011;73,1952;166,294;1,14501;0,654744;0,6462;0,625308;0,535837;0,552065;0,541625;0,457107;0,489399;0,701586;0,748603;0,852986;30,5588;1,14501;3,00E+07
18;14,8126;136,25;106,208;77,0908;0,825722;0,781595;0,780036;0,579053;0,659301;0,636601;0,621477;0,595304;0,40946;0,543109;0,570468;0,389914;31,4138;0,825722;3,09E+07
19;142,49;178,77;100,63;61,89;0,379903;0,537101;0,247341;0,269063;0,425588;0,456485;0,43935;0,39315;0,246439;0,11241;0,387733;0,270874;36,0081;0,537101;3,54E+07
20;58,5977;149,034;71,0153;98,4669;0,805147;0,658199;0,896192;1,10706;0,941402;0,516444;0,493161;0,789761;0,814766;0,517335;0,414987;0,346066;31,196;1,10706;3,07E+07
